"year","month","x","y"
1985,2,338,38.995431606437
1985,3,339,49.8516447368421
1985,4,340,46.0364811912226
1985,5,341,43.8813172043011
1985,6,342,39.5752873563218
1985,7,343,36.3508064516129
1985,8,344,32.6951379149135
1985,9,345,29.4949303030303
1985,10,346,31.8241935483871
1985,11,347,34.0349500439174
1985,12,348,37.103555764411
1986,1,349,38.2825268817204
1986,2,350,38.8434276773951
1986,3,351,40.3341222533894
1986,4,352,44.6302777777778
1986,5,353,41.9898120404607
1986,6,354,40.4589077589078
1986,7,355,28.8661173445535
1986,8,356,36.1411111111111
1986,9,357,22.6156944444444
1986,10,358,36.1612903225806
1986,11,359,29.8985912698413
1986,12,360,41.2604764752791
1987,1,361,37.7772861945651
1987,2,362,39.525
1987,3,363,47.1621794871795
1987,8,368,32.7177419354839
1987,9,369,29.1765277777778
1987,10,370,32.8349462365591
1987,11,371,38.7806034482759
1987,12,372,32.3959293394777
1988,1,373,41.9999941561477
1988,2,374,40.9074712643678
1988,3,375,47.7455120842904
1988,4,376,49.6904108822212
1988,5,377,43.1674731182796
1988,6,378,30.975119047619
1988,7,379,36.5199392239364
1988,8,380,31.5489247311828
1988,9,381,31.8565277777778
1988,10,382,28.1819892473118
1988,11,383,28.6678511705686
1988,12,384,34.6526966089466
1989,1,385,39.958064516129
1989,2,386,35.1065476190476
1989,3,387,37.7358870967742
1989,4,388,45.642729468599
1989,5,389,43.769623655914
1989,6,390,34.0305555555556
1989,7,391,35.059811827957
1989,8,392,34.4122311827957
1989,9,393,34.5390277777778
1989,10,394,23.6676893408135
1989,11,395,34.0679166666667
1989,12,396,39.9312470780739
1990,1,397,37.2370967741935
1990,2,398,37.678125
1990,3,399,47.6686827956989
1990,4,400,47.6279938271605
1990,5,401,49.8700268817204
1990,6,402,42.5375
1990,7,403,32.5
1990,8,404,31.3560483870968
1990,9,405,28.4336206896552
1990,10,406,35.0017397660819
1990,11,407,27.6109691745037
1990,12,408,38.5566666666667
1991,1,409,43.2360215053763
1991,2,410,39.9727678571429
1991,3,411,45.939247311828
1991,4,412,52.3369444444444
1991,5,413,50.2844116161616
1991,6,414,38.3661111111111
1991,7,415,36.8190968743739
1991,8,416,28.8219086021505
1991,9,417,29.0629166666667
1991,10,418,31.3276706404862
1991,11,419,31.6811111111111
1991,12,420,33.3287634408602
1992,1,421,38.7274193548387
1992,2,422,41.3563979373949
